title,location,place,price,rating,image_url,details,map_url,available_dates,booked_dates
Chennai Marina View Hotel,"Chennai, Tamil Nadu, India",Marina Beach,4200,4.6,https://picsum.photos/seed/chennai-marina-01/800/600,"Sea-facing rooms near the promenade.",https://www.google.com/maps?q=Chennai+Tamil+Nadu,,
Chennai Central Grand,"Chennai, Tamil Nadu, India",Central Station,3800,4.5,https://picsum.photos/seed/chennai-central-02/800/600,"Easy transit access with modern rooms.",https://www.google.com/maps?q=Chennai+Tamil+Nadu,,
Coimbatore City Suites,"Coimbatore, Tamil Nadu, India",RS Puram,3200,4.4,https://picsum.photos/seed/coimbatore-city-03/800/600,"Business-friendly stay close to cafes.",https://www.google.com/maps?q=Coimbatore+Tamil+Nadu,,
Madurai Temple Stay,"Madurai, Tamil Nadu, India",Meenakshi Temple Road,3000,4.7,https://picsum.photos/seed/madurai-temple-04/800/600,"Traditional charm near the temple district.",https://www.google.com/maps?q=Madurai+Tamil+Nadu,,
Kodaikanal Lake Resort,"Kodaikanal, Tamil Nadu, India",Lake Road,5400,4.8,https://picsum.photos/seed/kodaikanal-lake-05/800/600,"Hill retreat with lake views.",https://www.google.com/maps?q=Kodaikanal+Tamil+Nadu,,
Ooty Pine Ridge,"Udhagamandalam, Tamil Nadu, India",Charing Cross,5000,4.7,https://picsum.photos/seed/ooty-pine-06/800/600,"Cool weather stay in the Nilgiris.",https://www.google.com/maps?q=Ooty+Tamil+Nadu,,
Thanjavur Heritage Inn,"Thanjavur, Tamil Nadu, India",Big Temple Road,3100,4.4,https://picsum.photos/seed/thanjavur-heritage-07/800/600,"Calm stay near Brihadeeswara Temple.",https://www.google.com/maps?q=Thanjavur+Tamil+Nadu,,
Trichy Riverside Hotel,"Tiruchirappalli, Tamil Nadu, India",Kaveri Riverside,2900,4.3,https://picsum.photos/seed/trichy-river-08/800/600,"Relaxed rooms with river breeze.",https://www.google.com/maps?q=Tiruchirappalli+Tamil+Nadu,,
Salem Hillview Lodge,"Salem, Tamil Nadu, India",Fort Area,2600,4.2,https://picsum.photos/seed/salem-hill-09/800/600,"Comfort stay in the city center.",https://www.google.com/maps?q=Salem+Tamil+Nadu,,
Erode Green Nest,"Erode, Tamil Nadu, India",Perundurai Road,2400,4.1,https://picsum.photos/seed/erode-green-10/800/600,"Budget stay with clean rooms.",https://www.google.com/maps?q=Erode+Tamil+Nadu,,
Vellore Fortview Suites,"Vellore, Tamil Nadu, India",Fort Road,2800,4.3,https://picsum.photos/seed/vellore-fort-11/800/600,"Quick access to Vellore Fort.",https://www.google.com/maps?q=Vellore+Tamil+Nadu,,
Kanyakumari Sunrise Hotel,"Kanyakumari, Tamil Nadu, India",Beach Road,4600,4.7,https://picsum.photos/seed/kanyakumari-sun-12/800/600,"Sunrise-facing rooms near the shore.",https://www.google.com/maps?q=Kanyakumari+Tamil+Nadu,,
Rameswaram Sea Breeze,"Ramanathapuram, Tamil Nadu, India",Temple Loop,4200,4.6,https://picsum.photos/seed/rameswaram-sea-13/800/600,"Peaceful stay close to the pilgrimage path.",https://www.google.com/maps?q=Rameswaram+Tamil+Nadu,,
Tirunelveli Spice Court,"Tirunelveli, Tamil Nadu, India",Palayamkottai,2500,4.2,https://picsum.photos/seed/tirunelveli-spice-14/800/600,"Comfort stay with local cuisine nearby.",https://www.google.com/maps?q=Tirunelveli+Tamil+Nadu,,
Tiruppur Looms Residency,"Tiruppur, Tamil Nadu, India",Avinashi Road,2600,4.1,https://picsum.photos/seed/tiruppur-looms-15/800/600,"Business stay near textile hubs.",https://www.google.com/maps?q=Tiruppur+Tamil+Nadu,,
Hosur Tech Park Hotel,"Hosur, Tamil Nadu, India",Tech Park,3400,4.3,https://picsum.photos/seed/hosur-tech-16/800/600,"Modern rooms near industrial zones.",https://www.google.com/maps?q=Hosur+Tamil+Nadu,,
