title,location,place,price,rating,image_url,details,map_url,available_dates,booked_dates
Marina Bayline Hotel,"Chennai, Tamil Nadu, India",T Nagar,3200,4.3,https://source.unsplash.com/800x600/?hotel,chennai,1,"Modern stay near Marina Beach with city skyline views.",https://www.google.com/maps?q=13.0405,80.2337,,
Grand Coimbatore Suites,"Coimbatore, Tamil Nadu, India",RS Puram,2800,4.2,https://source.unsplash.com/800x600/?hotel,coimbatore,2,"Comfortable rooms close to shopping and dining.",https://www.google.com/maps?q=11.0168,76.9558,,
Madurai Heritage Stay,"Madurai, Tamil Nadu, India",Meenakshi Temple Road,2600,4.5,https://source.unsplash.com/800x600/?hotel,madurai,3,"Traditional decor with easy access to the temple district.",https://www.google.com/maps?q=9.9195,78.1193,,
Kodaikanal Mist Resort,"Kodaikanal, Tamil Nadu, India",Lake Road,4200,4.6,https://source.unsplash.com/800x600/?hotel,kodaikanal,4,"Hill-station retreat with lake views and pine air.",https://www.google.com/maps?q=10.2381,77.4892,,
Ooty Pine Crest,"Udhagamandalam, Tamil Nadu, India",Charing Cross,3900,4.4,https://source.unsplash.com/800x600/?hotel,ooty,5,"Cozy cottages set in the Nilgiris.",https://www.google.com/maps?q=11.4064,76.6932,,
Thanjavur Royal Courtyard,"Thanjavur, Tamil Nadu, India",Big Temple Road,2500,4.1,https://source.unsplash.com/800x600/?hotel,thanjavur,6,"Quiet stay near the Brihadeeswara Temple.",https://www.google.com/maps?q=10.7829,79.1319,,
Trichy Riverside Inn,"Tiruchirappalli, Tamil Nadu, India",Kaveri Riverside,2300,4.0,https://source.unsplash.com/800x600/?hotel,trichy,7,"Simple comfort with river views and quick transit.",https://www.google.com/maps?q=10.7905,78.7047,,
Salem City Garden,"Salem, Tamil Nadu, India",Fort Area,2100,3.9,https://source.unsplash.com/800x600/?hotel,salem,8,"Affordable rooms in the city center.",https://www.google.com/maps?q=11.6643,78.1460,,
Erode Greenleaf Hotel,"Erode, Tamil Nadu, India",Perundurai Road,2000,3.8,https://source.unsplash.com/800x600/?hotel,erode,9,"Budget-friendly option near markets and cafes.",https://www.google.com/maps?q=11.3410,77.7172,,
Vellore Fortview Lodge,"Vellore, Tamil Nadu, India",Fort Road,2400,4.0,https://source.unsplash.com/800x600/?hotel,vellore,10,"Convenient stay near Vellore Fort.",https://www.google.com/maps?q=12.9165,79.1325,,
Kanyakumari Sunrise Stay,"Kanyakumari, Tamil Nadu, India",Beach Road,3600,4.5,https://source.unsplash.com/800x600/?hotel,kanyakumari,11,"Sunrise-facing rooms near the shore.",https://www.google.com/maps?q=8.0883,77.5385,,
Rameswaram Shoreline Resort,"Ramanathapuram, Tamil Nadu, India",Temple Loop,3400,4.3,https://source.unsplash.com/800x600/?hotel,rameswaram,12,"Peaceful retreat close to the pilgrimage route.",https://www.google.com/maps?q=9.2881,79.3174,,
Tirunelveli Spice Garden,"Tirunelveli, Tamil Nadu, India",Palayamkottai,2200,3.9,https://source.unsplash.com/800x600/?hotel,tirunelveli,13,"Comfort stay with local cuisine nearby.",https://www.google.com/maps?q=8.7139,77.7567,,
Nagapattinam Coastal Suites,"Nagapattinam, Tamil Nadu, India",Seaside Road,2700,4.1,https://source.unsplash.com/800x600/?hotel,nagapattinam,14,"Relaxed stay near the coast and fishing harbor.",https://www.google.com/maps?q=10.7630,79.8435,,
Cuddalore Blue Sands,"Cuddalore, Tamil Nadu, India",Silver Beach,2600,4.0,https://source.unsplash.com/800x600/?hotel,cuddalore,15,"Beachside rooms with breezy patios.",https://www.google.com/maps?q=11.7480,79.7714,,
Tiruppur Looms Hotel,"Tiruppur, Tamil Nadu, India",Avinashi Road,2300,3.8,https://source.unsplash.com/800x600/?hotel,tiruppur,16,"Business-friendly stay near textile hubs.",https://www.google.com/maps?q=11.1085,77.3411,,
