title,location,place,price,rating,image_url,details,map_url,type
The Taj Mahal Palace,"Mumbai, Maharashtra",Colaba,15000,4.8,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Iconic luxury hotel overlooking the Gateway of India with world-class service.",https://www.google.com/maps?q=18.9220,72.8332,hotel
The Oberoi,"Mumbai, Maharashtra",Nariman Point,18000,4.9,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800,"Luxury waterfront hotel with stunning views of Marine Drive.",https://www.google.com/maps?q=18.9231,72.8254,hotel
ITC Grand Central,"Mumbai, Maharashtra",Parel,12000,4.7,https://images.unsplash.com/photo-1455587734955-081b22074882?w=800,"Premium business hotel with elegant rooms and fine dining.",https://www.google.com/maps?q=19.0060,72.8428,hotel
JW Marriott Mumbai Juhu,"Mumbai, Maharashtra",Juhu Beach,14000,4.8,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Beachfront luxury resort with modern amenities.",https://www.google.com/maps?q=19.0993,72.8261,hotel
Trident Bandra Kurla,"Mumbai, Maharashtra",BKC,11000,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Contemporary hotel in Mumbai's business district.",https://www.google.com/maps?q=19.0633,72.8699,hotel
Trishna Restaurant,"Mumbai, Maharashtra",Fort,800,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Legendary seafood restaurant famous for butter garlic crab.",https://www.google.com/maps?q=18.9333,72.8322,restaurant
Britannia & Co,"Mumbai, Maharashtra",Ballard Estate,600,4.4,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,"Iconic Parsi cafe serving berry pulao since 1923.",https://www.google.com/maps?q=18.9354,72.8396,restaurant
The Taj West End,"Bengaluru, Karnataka",Race Course Road,13000,4.8,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=800,"Heritage luxury hotel set in 20 acres of lush gardens.",https://www.google.com/maps?q=12.9919,77.5993,hotel
ITC Gardenia,"Bengaluru, Karnataka",Ashok Nagar,11000,4.7,https://images.unsplash.com/photo-1564501049412-61c2a3083791?w=800,"Contemporary luxury hotel with award-winning restaurants.",https://www.google.com/maps?q=12.9716,77.6012,hotel
The Leela Palace,"Bengaluru, Karnataka",Old Airport Road,16000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Grand palace-style hotel with royal architecture.",https://www.google.com/maps?q=12.9603,77.6496,hotel
Radisson Blu Atria,"Bengaluru, Karnataka",Palace Road,9500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Modern hotel near Bangalore Palace with rooftop pool.",https://www.google.com/maps?q=12.9869,77.5926,hotel
Vidyarthi Bhavan,"Bengaluru, Karnataka",Basavanagudi,150,4.6,https://images.unsplash.com/photo-1589302168068-964664d93dc0?w=800,"Legendary South Indian breakfast spot serving crispy dosas.",https://www.google.com/maps?q=12.9436,77.5741,restaurant
MTR - Mavalli Tiffin Room,"Bengaluru, Karnataka",Lalbagh Road,200,4.5,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Historic restaurant serving authentic Karnataka cuisine since 1924.",https://www.google.com/maps?q=12.9500,77.5833,restaurant
Koshy's,"Bengaluru, Karnataka",St Marks Road,450,4.3,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Vintage cafe and restaurant popular since 1940s.",https://www.google.com/maps?q=12.9716,77.6003,restaurant
The Taj Coromandel,"Chennai, Tamil Nadu",Nungambakkam,12000,4.7,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Elegant 5-star hotel in the heart of Chennai.",https://www.google.com/maps?q=13.0569,80.2499,hotel
ITC Grand Chola,"Chennai, Tamil Nadu",Guindy,14000,4.8,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"South Asia's largest luxury hotel inspired by Chola architecture.",https://www.google.com/maps?q=13.0107,80.2209,hotel
The Leela Palace,"Chennai, Tamil Nadu",Adyar,13500,4.8,https://images.unsplash.com/photo-1596436889106-be35e843f974?w=800,"Luxury hotel overlooking the Bay of Bengal.",https://www.google.com/maps?q=13.0039,80.2571,hotel
Saravana Bhavan,"Chennai, Tamil Nadu",Anna Salai,250,4.4,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,"World-famous vegetarian restaurant chain.",https://www.google.com/maps?q=13.0461,80.2465,restaurant
Murugan Idli Shop,"Chennai, Tamil Nadu",Vadapalani,180,4.5,https://images.unsplash.com/photo-1694842901433-9d0cf9ddf1ae?w=800,"Popular chain serving soft idlis and authentic Tamil breakfast.",https://www.google.com/maps?q=13.0502,80.2114,restaurant
The Taj Mahal Hotel,"New Delhi, India",Man Singh Road,14000,4.8,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?w=800,"Iconic 5-star hotel near India Gate.",https://www.google.com/maps?q=28.6127,77.2166,hotel
The Oberoi,"New Delhi, India",Dr Zakir Hussain Marg,17000,4.9,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Luxury hotel with views of the Delhi Golf Course.",https://www.google.com/maps?q=28.5933,77.2373,hotel
The Leela Palace,"New Delhi, India",Chanakyapuri,16500,4.9,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Grand palace hotel with royal Rajasthani architecture.",https://www.google.com/maps?q=28.5933,77.1796,hotel
ITC Maurya,"New Delhi, India",Sardar Patel Marg,13500,4.7,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Luxury hotel frequented by dignitaries and heads of state.",https://www.google.com/maps?q=28.5929,77.1792,hotel
Radisson Blu Marina,"New Delhi, India",Connaught Place,10000,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Modern hotel in the heart of central Delhi.",https://www.google.com/maps?q=28.6304,77.2177,hotel
Bukhara,"New Delhi, India",ITC Maurya,2500,4.8,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"World-renowned restaurant for North Indian cuisine.",https://www.google.com/maps?q=28.5929,77.1792,restaurant
Indian Accent,"New Delhi, India",Lodhi Road,3500,4.9,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,"Award-winning contemporary Indian restaurant.",https://www.google.com/maps?q=28.5933,77.2200,restaurant
Karim's,"New Delhi, India",Jama Masjid,600,4.5,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800,"Legendary Mughlai restaurant since 1913.",https://www.google.com/maps?q=28.6507,77.2340,restaurant
The Taj Falaknuma Palace,"Hyderabad, Telangana",Falaknuma,25000,4.9,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Former palace of the Nizam, now a luxury hotel.",https://www.google.com/maps?q=17.3297,78.4634,hotel
ITC Kakatiya,"Hyderabad, Telangana",Begumpet,11000,4.7,https://images.unsplash.com/photo-1564501049412-61c2a3083791?w=800,"Luxury business hotel with contemporary design.",https://www.google.com/maps?q=17.4399,78.4632,hotel
Taj Krishna,"Hyderabad, Telangana",Banjara Hills,12500,4.7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Iconic hotel in the upscale Banjara Hills area.",https://www.google.com/maps?q=17.4239,78.4471,hotel
Paradise Biryani,"Hyderabad, Telangana",Secunderabad,450,4.6,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Legendary restaurant famous for Hyderabadi biryani.",https://www.google.com/maps?q=17.4399,78.4983,restaurant
Chutneys,"Hyderabad, Telangana",Banjara Hills,350,4.5,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Popular South Indian restaurant with 40+ varieties of dosas.",https://www.google.com/maps?q=17.4126,78.4456,restaurant
The Oberoi Amarvilas,"Agra, Uttar Pradesh",Taj East Gate,28000,4.9,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Luxury resort with stunning Taj Mahal views from every room.",https://www.google.com/maps?q=27.1751,78.0421,hotel
ITC Mughal,"Agra, Uttar Pradesh",Taj Ganj,13000,4.8,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Sprawling Mughal-themed luxury hotel near the Taj Mahal.",https://www.google.com/maps?q=27.1804,78.0422,hotel
Trident Agra,"Agra, Uttar Pradesh",Taj Nagri,8500,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Contemporary hotel with Taj Mahal views.",https://www.google.com/maps?q=27.1763,78.0429,hotel
Pinch of Spice,"Agra, Uttar Pradesh",Sanjay Place,550,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Popular restaurant for North Indian and Mughlai cuisine.",https://www.google.com/maps?q=27.1767,78.0081,restaurant
The Oberoi Udaivilas,"Udaipur, Rajasthan",Lake Pichola,32000,5.0,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Ultra-luxury palace hotel on the shores of Lake Pichola.",https://www.google.com/maps?q=24.5760,73.6779,hotel
Taj Lake Palace,"Udaipur, Rajasthan",Lake Pichola,30000,4.9,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"18th-century palace floating on Lake Pichola.",https://www.google.com/maps?q=24.5760,73.6784,hotel
The Leela Palace,"Udaipur, Rajasthan",Lake Pichola,28000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Luxury lakeside palace with traditional Rajasthani architecture.",https://www.google.com/maps?q=24.5856,73.6877,hotel
Ambrai Restaurant,"Udaipur, Rajasthan",Amet Haveli,1200,4.7,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Lakeside restaurant with stunning City Palace views.",https://www.google.com/maps?q=24.5760,73.6824,restaurant
Taj Rambagh Palace,"Jaipur, Rajasthan",Bhawani Singh Road,22000,4.9,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Former royal residence now a luxury heritage hotel.",https://www.google.com/maps?q=26.8891,75.7975,hotel
